NAME,FORM
"DIFLOXACIN",C21H19F2N3O3
"TAZOBACTAM",C10H12N4O5S
"CHEMBL6261",C16H23N5O5S
"CHEMBL6281",C17H18N4O6S
"FLEROXACIN",C17H18F3N3O3
"CHEMBL6287",C18H21F2N3O3
"CHEMBL267628",C23H29F2N3O3
"BISINDOLYLMALEIMIDE IX",C25H23N5O2S
"CHEMBL6292",C17H17FN4O5S
"CHEMBL267863",C17H19N5O5S
"CHEMBL263882",C20H25N5O6S
"CHEMBL6332",C26H25N5O2
"CHEMBL268769",C26H26N4O2
"CHEMBL269264",C24H22N4O2
"MERAFLOXACIN",C19H23F2N3O3
"PD-117558",C20H23F2N3O3
"CHEMBL267386",C25H24N6O2
"CHEMBL6220",C17H18N4O5S
"CHEMBL267626",C12H14N2O5S
"CHEMBL6221",C13H17NO7S
"CHEMBL265663",C19H20F5N3O3
"CHEMBL268292",C23H19N3O3
"CHEMBL6205",C24H21N3O3
"CHEMBL441172",C25H23N3O3
"CHEMBL6199",C26H25N3O3
"CHEMBL429244",C25H24N4O2
"CHEMBL6204",C18H17N3O
"CHEMBL6229",C10H9N5S3
"AMIFLOXACIN",C16H19FN4O3
"CHEMBL6215",C8H8N2OS
"CHEMBL6235",C26H26N4O2
"CHEMBL266483",C25H24N4O2
"CIPROFLOXACIN",C17H18FN3O3
"CHEMBL6224",C11H13N
"CHEMBL6225",C21H25F2N3O3
"CHEMBL6256",C18H22F2N4O3
"CHEMBL267230",C12H15NO
"NORFLOXACIN",C16H18FN3O3
"CHEMBL268888",C26H25N5O2S
"CHEMBL415287",C19H22F3N3O3
"CHEMBL6250",C22H15N3O4
"SB-203580",C21H16FN3OS
"CHEMBL268889",C18H15N3O2
"CHEMBL266706",C16H12FN3S
"CHEMBL6304",C17H14FN3
"CHEMBL266707",C16H12FN3S
"CHEMBL6294",C17H14FN3
"CHEMBL6299",C20H20F2N4O3S
"CHEMBL263075",C23H23F2N3O3
"CHEMBL6262",C21H25F2N3O3
"CHEMBL6276",C21H25F2N3O3
"CHEMBL6279",C25H23N7O4
"CHEMBL269056",C8H7ClN2S
"CHEMBL267127",C11H10N4S3
"CHEMBL269495",C11H11N5S2
"CHEMBL267678",C15H12N2OS2
"CHEMBL267914",C15H12N2OS2
"CHEMBL6248",C13H15NO3S
"CHEMBL269339",C21H14FN3O2
"CHEMBL269341",C22H14N4O2
"SB-431542",C22H16N4O3
"CHEMBL267228",C22H17N3O3
"CHEMBL6252",C21H14FN3O2
"CHEMBL268529",C23H20N4O2
"CHEMBL267126",C24H21N5O2S
"CHEMBL6274",C27H27N5O2S
"CHEMBL268530",C15H13NOS2
"CHEMBL6275",C16H14N2OS2
"CHEMBL267125",C16H14N2OS2
"CHEMBL269497",C15H12N2OS2
"CHEMBL6278",C15H12N2OS2
"CHEMBL267456",C14H10N2OS2
"CHEMBL6316",C17H14N2O3S2
"CHEMBL6324",C22H18N2OS2
"CHEMBL6249",C21H16N2OS2
"CHEMBL6258",C15H12N2OS2
"CHEMBL6257",C8H5ClN2OS
"CHEMBL262570",C16H14N2OS2
"CHEMBL6264",C17H15N3O2S2
"CHEMBL6636",C28H23N5O6
"CHEMBL269598",C15H13N3OS2
"CHEMBL6369",C16H13NO2S2
"CHEMBL6370",C15H11NO2S2
"CHEMBL6371",C21H15NOS2
"CHEMBL266708",C16H13NOS2
"CHEMBL6381",C15H11NOS2
"CHEMBL266460",C16H14N4OS2
"CHEMBL6762",C22H25N3O2S2
"CHEMBL266197",C16H15NS2
"CHEMBL269075",C16H14N2O2S2
"CHEMBL6517",C17H16N2O2S2
"CHEMBL263080",C13H9N3OS2
"CHEMBL6534",C20H14N2OS2
"CHEMBL263081",C15H12N2O2S2
"CHEMBL266198",C14H9BrN2OS2
"CHEMBL6612",C14H8Cl2N2OS2
"CHEMBL268567",C14H9ClN2OS2
"CHEMBL428508",C18H18N2O3S2
"CHEMBL6417",C21H15ClN2OS2
"CHEMBL266429",C15H12N2S3
"CHEMBL6490",C18H18Br4O2
"CHEMBL414201",C26H36O7
"HARMINE",C13H12N2O
"CHEMBL6857",C11H11BrN2
"CHEMBL6746",C11H9BrN2
"CHEMBL6505",C38H61N7O6
"CHEMBL266572",C14H11NS2
"CHEMBL6558",C25H34O6
"CHEMBL6404",C18H21FO2
"CHEMBL6717",C12H12N2O
"CHEMBL6532",C15H19N5O3
"CHEMBL427969",C25H36O7
"CHEMBL6647",C16H15BrN4O3S
"CHEMBL6514",C34H38N2O5S
"CHEMBL266066",C25H22FN5O2S
"CHEMBL6398",C6H17N4O3P
"CHEMBL269002",C16H20N4O3
"CHEMBL264095",C29H24FN5O2
"CHEMBL6576",C15H12BrN3O3S
"CHEMBL6591",C12H12N2O
"CHEMBL6586",C12H14N2O
"CHEMBL268151",C25H22FN5O2S
"CHEMBL6388",C5H15N4O3P
"CHEMBL6401",C5H15N4O2P
"CHEMBL6320",C15H12N2O2S2
"CHEMBL268667",C9H7N3O2S2
"CHEMBL269570",C15H11ClN2OS2
"CHEMBL6310",C12H14N2O
"CHEMBL269571",C12H14N2O
"CHEMBL6325",C27H23N5O4
"CHEMBL268099",C14H16N2OS2
"CHEMBL267938",C13H10N2O2S2
"CHEMBL268070",C11H8N4OS3
"CHEMBL6829",C27H24N4O2
"CHEMBL6830",C16H14N2OS2
"CHEMBL6383",C24H34O6
"CHEMBL415107",C18H20F2O2
"CHEMBL267937",C18H21IO2
"CHEMBL266196",C26H31N3O3S
"CHEMBL6442",C16H13NOS2
"CHEMBL268149",C27H38O9
"CHEMBL6307",C22H22N4O2
"CHEMBL6295",C18H20I2O2
"CHEMBL6296",C17H14BrN5O2S
"CHEMBL6305",C6H17N4O2P
"CHEMBL266221",C11H10N2
"CHEMBL6297",C16H15BrN4O2S
"CHEMBL6761",C16H15ClN4O2S
"CHEMBL6516",C18H19Br3O2
"CHEMBL269057",C5H14N5O5P
"CHEMBL6426",C11H11BrN2
"CHEMBL6427",C11H11BrN2
"CHEMBL6716",C38H61N11O6
"CHEMBL6555",C16H15BrN4O3S
"CHEMBL268174",C18H20N4O3S
"CHEMBL385851",C42H67N15O16S
"CHEMBL6573",C5H14N5O4P
"CHEMBL268691",C12H13BrN2O
"CHEMBL414199",C18H19I3O2
"CHEMBL441891",C11H11BrN2
"CHEMBL263883",C12H14N2
"CHEMBL266798",C15H12N2OS2
"CHEMBL6430",C15H15N3S
"CHEMBL266799",C13H11N3S2
"CHEMBL428999",C11H9BrN2
"CHEMBL6626",C11H9BrN2
"CHEMBL6632",C27H24FN5O2
"CHEMBL267036",C14H17N3O3
"CHEMBL265621",C15H17N5O2
"PNU-22394",C13H16N2
"CHEMBL427956",C36H57N7O6
"TRYPTOLINE",C11H12N2
"CHEMBL6567",C9H11FN2O5
"CHEMBL6386",C18H24O2
"CHEMBL267702",C24H21N5O2S
"CHEMBL6384",C15H15N5O
"4-METHYLTHIOAMPHETAMINE",C10H15NS
"CHEMBL414012",C26H25FN4O6
"CHEMBL269074",C11H12N2
"CHEMBL268387",C17H18N4O2S
"CHEMBL6389",C16H20N2OS2
"CHEMBL6390",C11H11NO3
"CHEMBL266956",C28H24N4O4
"CHEMBL441173",C30H44O9
"CHEMBL6509",C9H10N2
"CHEMBL6412",C17H17ClN4O3S
"CHEMBL6616",C11H16INO2
"CHEMBL268689",C12H17NO2
"CHEMBL6472",C18H18I4O2
"CHEMBL267599",C11H9BrN2
"CHEMBL6639",C28H24N4O5
"TRYPTAMINE",C10H12N2
"CHEMBL268854",C27H23ClN4O2
"CHEMBL6523",C15H14N2S2
"CHEMBL266064",C15H14N2S2
"CHEMBL269367",C12H12N2O
"CGS-19281A",C12H12N2O
"CHEMBL266084",C12H14N2O
"CHEMBL6560",C22H20N4O4
"CHEMBL268100",C28H23N5O2
"CHEMBL6548",C10H8BrNOS2
"CHEMBL6561",C10H8ClNO2S
"CHEMBL268453",C28H24FN5O4
"CHEMBL6715",C26H27FN4O4
"CHEMBL266316",C11H8F3NO3
"CHEMBL6402",C29H44O8
"CHEMBL267703",C35H54O11
"CHEMBL6391",C11H15NO2
"CHEMBL6330",C11H15NO2
"CHEMBL268629",C29H25N5O6
"CHEMBL6506",C23H21BrN4O3S
"CHEMBL6588",C18H19BrN4O3S
"CHEMBL6542",C15H9F3N2OS2
"CHEMBL6470",C12H10N2O
"CHEMBL267164",C19H27N5O4
"CHEMBL6831",C20H29N5O3
"CHEMBL269342",C24H21N5O2S
"CHEMBL6317",C25H22N4O2S
"CHEMBL267457",C22H33N5O3
"BMS-182874",C17H19N3O3S
"IDOXIFENE",C28H30INO
"CHEMBL268389",C31H36INO
"CHEMBL6547",C36H46INO
"CHEMBL6446",C20H24N2O
"CHEMBL6605",C34H38N2O5S
"CHEMBL6399",C16H16N4O2S
"CHEMBL266315",C17H16ClN3O2S
"CHEMBL6400",C18H17BrN2O2S
"CHEMBL6574",C25H26N2
"CHEMBL6575",C19H20N4O4
"CHEMBL6459",C19H21ClN2
"CHEMBL266801",C19H21N3O2
"CHEMBL6566",C18H18BrN3O2S
"CHEMBL6570",C13H9F3N6S
"CHEMBL269472",C29H32INO
